date,season,home_team,away_team,home_score,away_score,venue
2019-05-27,2019,Seattle Reign FC,North Carolina Courage,2,1,Cheney Stadium
2019-06-01,2019,Orlando Pride,North Carolina Courage,0,3,Inter&Co Stadium
2019-06-01,2019,Washington Spirit,Utah Royals FC,2,0,Maryland SoccerPlex
2019-06-02,2019,Portland Thorns FC,Chicago Stars FC,3,0,Providence Park
2019-06-02,2019,Seattle Reign FC,Houston Dash,1,1,Cheney Stadium
2019-06-15,2019,North Carolina Courage,Portland Thorns FC,1,1,WakeMed Soccer Park
2019-06-16,2019,Houston Dash,Orlando Pride,2,2,Shell Energy Stadium
2019-06-16,2019,Seattle Reign FC,Washington Spirit,1,1,Cheney Stadium
2019-06-16,2019,Utah Royals FC,Gotham FC,1,0,America First Field
2019-06-22,2019,Portland Thorns FC,Utah Royals FC,0,0,Providence Park
2019-06-22,2019,Gotham FC,Orlando Pride,1,2,RWJBarnabas Health Stadium at Yurcak Field
2019-06-22,2019,Washington Spirit,Houston Dash,0,0,Maryland SoccerPlex
2019-06-23,2019,Chicago Stars FC,Seattle Reign FC,0,1,SeatGeek Stadium
2019-06-29,2019,Utah Royals FC,Seattle Reign FC,0,2,America First Field
2019-06-30,2019,Washington Spirit,North Carolina Courage,1,2,Maryland SoccerPlex
2019-06-30,2019,Houston Dash,Portland Thorns FC,1,2,Shell Energy Stadium
2019-06-30,2019,Orlando Pride,Chicago Stars FC,2,3,Inter&Co Stadium
2019-07-05,2019,North Carolina Courage,Houston Dash,5,2,WakeMed Soccer Park
2019-07-06,2019,Portland Thorns FC,Seattle Reign FC,0,1,Providence Park
2019-07-07,2019,Orlando Pride,Washington Spirit,4,3,Inter&Co Stadium
2019-07-07,2019,Chicago Stars FC,Gotham FC,1,2,SeatGeek Stadium
2019-07-12,2019,Gotham FC,Utah Royals FC,1,0,RWJBarnabas Health Stadium at Yurcak Field
2019-07-13,2019,North Carolina Courage,Seattle Reign FC,2,0,WakeMed Soccer Park
2019-07-14,2019,Houston Dash,Chicago Stars FC,0,1,Shell Energy Stadium
2019-07-14,2019,Portland Thorns FC,Orlando Pride,4,3,Providence Park
2019-07-20,2019,Utah Royals FC,Portland Thorns FC,2,2,America First Field
2019-07-20,2019,Orlando Pride,Gotham FC,1,0,Inter&Co Stadium
2019-07-21,2019,Washington Spirit,Houston Dash,1,2,Maryland SoccerPlex
2019-07-21,2019,Chicago Stars FC,North Carolina Courage,2,1,SeatGeek Stadium
2019-07-24,2019,Gotham FC,Washington Spirit,0,1,RWJBarnabas Health Stadium at Yurcak Field
2019-07-25,2019,Portland Thorns FC,Houston Dash,5,0,Providence Park
2019-07-28,2019,Utah Royals FC,North Carolina Courage,1,2,America First Field
2019-07-28,2019,Seattle Reign FC,Chicago Stars FC,0,4,Cheney Stadium
2019-07-29,2019,Houston Dash,Gotham FC,1,0,Shell Energy Stadium
2019-08-02,2019,Houston Dash,Seattle Reign FC,0,1,Shell Energy Stadium
2019-08-03,2019,North Carolina Courage,Washington Spirit,1,0,WakeMed Soccer Park
2019-08-04,2019,Chicago Stars FC,Utah Royals FC,2,0,SeatGeek Stadium
2019-08-04,2019,Portland Thorns FC,Gotham FC,1,1,Providence Park
2019-08-08,2019,Seattle Reign FC,Portland Thorns FC,1,0,Cheney Stadium
2019-08-08,2019,Utah Royals FC,Gotham FC,3,0,America First Field
2019-08-10,2019,Washington Spirit,Chicago Stars FC,0,1,Maryland SoccerPlex
2019-08-10,2019,Orlando Pride,Houston Dash,0,1,Inter&Co Stadium
